epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,304.117,0.59182,0.9358,0.33752,0.68843,0.59405,0.65754,0.41341,0.4,0.76108,0.28415,0.000664011,0.000664011,0.000664011
2,602.856,0.56904,0.79711,0.33138,0.18603,0.08525,0.04956,0.02206,1.71333,0.23417,1.71964,0.00126481,0.00126481,0.00126481
3,898.307,0.61321,0.88062,0.34805,0.43451,0.22422,0.18846,0.09631,1.28643,1.57545,1.24102,0.00179961,0.00179961,0.00179961
4,1191.97,0.64141,0.94396,0.36507,0.59011,0.34754,0.37527,0.20562,0.52198,1.03872,0.36469,0.001703,0.001703,0.001703
5,1484.83,0.62884,0.93289,0.36036,0.50508,0.37049,0.38079,0.2045,0.5556,1.0005,0.41333,0.001604,0.001604,0.001604
6,1777.64,0.57853,0.9063,0.32905,0.57434,0.4,0.4419,0.26435,0.47101,0.97105,0.3197,0.001505,0.001505,0.001505
7,2070.15,0.5647,0.87739,0.31887,0.61071,0.51436,0.53785,0.32634,0.43321,0.95202,0.28506,0.001406,0.001406,0.001406
8,2362.5,0.56731,0.87796,0.3221,0.5763,0.48525,0.48566,0.29748,0.48183,0.85946,0.31693,0.001307,0.001307,0.001307
9,2654.56,0.54622,0.87311,0.31472,0.50442,0.5541,0.49498,0.304,0.42443,0.90847,0.29106,0.001208,0.001208,0.001208
10,2947.48,0.50827,0.85136,0.28923,0.68492,0.6,0.62613,0.38486,0.41435,0.79261,0.285,0.001109,0.001109,0.001109
11,3241.64,0.44655,0.79652,0.28846,0.69854,0.57049,0.64351,0.42665,0.38516,0.73959,0.25716,0.00101,0.00101,0.00101
12,3536.02,0.42538,0.7368,0.26968,0.70597,0.61639,0.65158,0.43559,0.40115,0.6754,0.27405,0.000911,0.000911,0.000911
13,3830.03,0.41944,0.7076,0.26686,0.68856,0.6623,0.70558,0.47019,0.3683,0.69411,0.23659,0.000812,0.000812,0.000812
14,4123.73,0.40388,0.67872,0.25332,0.66908,0.7082,0.7014,0.4639,0.40894,0.63589,0.27902,0.000713,0.000713,0.000713
15,4416.49,0.40391,0.6812,0.25276,0.78467,0.69836,0.76469,0.50829,0.38599,0.60682,0.27063,0.000614,0.000614,0.000614
16,4710.37,0.38397,0.62915,0.24028,0.74367,0.68525,0.74488,0.5114,0.35754,0.63244,0.23395,0.000515,0.000515,0.000515
17,5004.58,0.38181,0.62439,0.23987,0.79006,0.72459,0.7765,0.52747,0.36432,0.58457,0.2426,0.000416,0.000416,0.000416
18,5299.23,0.36189,0.59075,0.22297,0.79978,0.67869,0.78834,0.53723,0.3585,0.58782,0.24279,0.000317,0.000317,0.000317
19,5593.67,0.35207,0.57777,0.2178,0.79519,0.7541,0.80109,0.55428,0.34424,0.5751,0.23714,0.000218,0.000218,0.000218
20,5888.64,0.34718,0.55873,0.21359,0.7863,0.77209,0.81104,0.56076,0.34526,0.5635,0.23615,0.000119,0.000119,0.000119
